title,volume,authors,year,pages,link,code
Simultaneous Private Learning of Multiple Concepts,Volume 20,"['Mark Bun', 'Kobbi Nissim', 'Uri Stemmer']",2019,34,https://www.jmlr.org/papers/volume20/18-549/18-549.pdf,
High-Dimensional Poisson Structural Equation Model Learning via $\ell_1$-Regularized Regression,Volume 20,"['Gunwoong Park', 'Sion Park']",2019,41,https://www.jmlr.org/papers/volume20/18-819/18-819.pdf,
PyOD: A Python Toolbox for Scalable Outlier Detection,Volume 20,"['Yue Zhao', 'Zain Nasrullah', 'Zheng Li']",2019,7,https://www.jmlr.org/papers/volume20/19-011/19-011.pdf,https://github.com/yzhao062/pyod
Relative Error Bound Analysis for Nuclear Norm Regularized Matrix Completion,Volume 20,"['Lijun Zhang', 'Tianbao Yang', 'Rong Jin', 'Zhi-Hua Zhou']",2019,22,https://www.jmlr.org/papers/volume20/15-504/15-504.pdf,
Adaptive Geometric Multiscale Approximations for Intrinsically Low-dimensional Data,Volume 20,"['Wenjing Liao', 'Mauro Maggioni']",2019,63,https://www.jmlr.org/papers/volume20/17-252/17-252.pdf,
Change Surfaces for Expressive Multidimensional Changepoints and Counterfactual Prediction,Volume 20,"['William Herlands', 'Daniel B. Neill', 'Hannes Nickisch', 'Andrew Gordon Wilson']",2019,51,https://www.jmlr.org/papers/volume20/17-352/17-352.pdf,
Hamiltonian Monte Carlo with Energy Conserving Subsampling,Volume 20,"['Khue-Dung Dang', 'Matias Quiroz', 'Robert Kohn', 'Minh-Ngoc Tran', 'Mattias Villani']",2019,31,https://www.jmlr.org/papers/volume20/17-452/17-452.pdf,
Low Permutation-rank Matrices: Structural Properties and Noisy Completion,Volume 20,"['Nihar B. Shah', 'Sivaraman Balakrishnan', 'Martin J. Wainwright']",2019,43,https://www.jmlr.org/papers/volume20/17-545/17-545.pdf,
Non-Convex Matrix Completion and Related Problems via Strong Duality,Volume 20,"['Maria-Florina Balcan', 'Yingyu Liang', 'Zhao Song', 'David P. Woodruff', 'Hongyang Zhang']",2019,56,https://www.jmlr.org/papers/volume20/17-611/17-611.pdf,
Regularization via Mass Transportation,Volume 20,"['Soroosh Shafieezadeh-Abadeh', 'Daniel Kuhn', 'Peyman Mohajerin Esfahani']",2019,68,https://www.jmlr.org/papers/volume20/17-633/17-633.pdf,
Complete Search for Feature Selection in Decision Trees,Volume 20,['Salvatore Ruggieri'],2019,34,https://www.jmlr.org/papers/volume20/18-035/18-035.pdf,
Optimal Transport: Fast Probabilistic Approximation with Exact Solvers,Volume 20,"['Max Sommerfeld', 'J̦rn Schrieber', 'Yoav Zemel', 'Axel Munk']",2019,23,https://www.jmlr.org/papers/volume20/18-079/18-079.pdf,
Solving the OSCAR and SLOPE Models Using a Semismooth Newton-Based Augmented Lagrangian Method,Volume 20,"['Ziyan Luo', 'Defeng Sun', 'Kim-Chuan Toh', 'Naihua Xiu']",2019,25,https://www.jmlr.org/papers/volume20/18-172/18-172.pdf,
