person_id,id,name,character,role
57602,tm66116,Basil Ruysdael,General Oliver,ACTOR
51099,tm66116,Will Geer,Rancher,ACTOR
351758,tm66116,Joyce Mackenzie,Terry,ACTOR
39171,tm66116,Arthur Hunnicutt,Milt Duffield,ACTOR
59283,tm66116,Robert Adler,Lonergan - Stage Driver,ACTOR
13348,tm66116,Trevor Bardette,Stage Passenger,ACTOR
564905,tm66116,Chris Willow Bird,Nochalo,ACTOR
577620,tm66116,Raymond Bramley,Col. Bernall,ACTOR
49069,tm66116,Chet Brandenburg,Miner,ACTOR
133888,tm66116,Argentina Brunetti,Nalikadeya - Cochise's Wife,ACTOR
93472,tm66116,Harry Carter,Miner,ACTOR
151055,tm66116,Iron Eyes Cody,"Teese, Court Jester",ACTOR
151731,tm66116,J.W. Cody,Pionsenay - Chosen Warrior,ACTOR
21779,tm66116,Heinie Conklin,Townsman,ACTOR
22268,tm66116,John Doucette,Mule Driver,ACTOR
219734,tm66116,Nacho Galindo,Barber,ACTOR
59094,tm66116,Robert Griffin,John Lowrie,ACTOR
60247,tm66116,Jack Kenny,Townsman,ACTOR
47810,tm66116,Bob Kortman,Minor Role,ACTOR
13329,tm66116,Mickey Kuhn,Bob Slade,ACTOR
1061978,tm66116,Al Kunde,Townsman,ACTOR
60250,tm66116,Ted Mapes,Mail Rider,ACTOR
73846,tm66116,Frank McGrath,Barfly,ACTOR
21358,tm66116,Charles Morton,Townsman,ACTOR
25664,tm66116,Jay Silverheels,Geronimo,ACTOR
84209,tm66116,Charles Soldani,Skinyea - Chosen Warrior,ACTOR
58384,tm66116,John War Eagle,Nahilzay,ACTOR
564678,tm66116,Billy Wilkerson,Juan,ACTOR
153634,tm66116,Bud Wolfe,Man,ACTOR
53700,tm66116,Delmer Daves,,DIRECTOR
25058,tm112752,Basil Rathbone,Sherlock Holmes,ACTOR
72427,tm112752,Nigel Bruce,Doctor Watson,ACTOR
45548,tm112752,Lionel Atwill,Moriarty,ACTOR
105845,tm112752,William Post Jr.,Dr. Franz Tobel,ACTOR
104171,tm112752,Kaaren Verne,Charlotte Eberli,ACTOR
60611,tm112752,Dennis Hoey,Inspector Lestrade,ACTOR
1369,tm112752,Holmes Herbert,Sir Reginald,ACTOR
27265,tm112752,Mary Gordon,Mrs. Hudson,ACTOR
29631,tm112752,Harry Cording,Jack Brady (uncredited),ACTOR
572441,tm112752,Harold De Becker,Peg Leg (uncredited),ACTOR
21354,tm112752,Paul Fix,Mueller (uncredited),ACTOR
34555,tm112752,Henry Victor,Professor Frederic Hoffner (uncredited),ACTOR
137265,tm112752,John Burton,RAF Officer (uncredited),ACTOR
17008,tm112752,Paul Bryar,Swiss Waiter (uncredited),ACTOR
44077,tm112752,Whit Bissell,London Bobbie (uncredited),ACTOR
90199,tm112752,Rudolph Anders,Braun (uncredited),ACTOR
22464,tm112752,Colin Kenny,Scotland Yard Detective (uncredited),ACTOR
69993,tm112752,George Burr Macannan,Gottfried (uncredited),ACTOR
212794,tm112752,Harry Woods,Kurt (uncredited),ACTOR
60620,tm112752,Roy William Neill,,DIRECTOR
25058,tm15689,Basil Rathbone,Sherlock Holmes,ACTOR
72427,tm15689,Nigel Bruce,Dr. John Watson,ACTOR
102391,tm15689,Hillary Brooke,Lydia Marlowe,ACTOR
22454,tm15689,Henry Daniell,Professor James Moriarty,ACTOR
71264,tm15689,Paul Cavanagh,Sir George Fenwick,ACTOR
116463,tm15689,Matthew Boulton,Inspector Gregson,ACTOR
569296,tm15689,Eve Amber,Maude Fenwick,ACTOR
51918,tm15689,Frederick Worlock,Dr. Onslow,ACTOR
569058,tm15689,Percival Vivian,Dr. Simnell,ACTOR
568802,tm15689,Coulter Irwin,Corporal Williams,ACTOR
569298,tm15689,Sally Shepherd,Crandon,ACTOR
27265,tm15689,Mary Gordon,Mrs. Hudson,ACTOR
137265,tm15689,John Burton,Waring the Mesmerist (uncredited),ACTOR
572441,tm15689,Harold De Becker,Shoelace Vendor Henchman  (uncredited),ACTOR
800760,tm15689,Tony Ellis,Carter the Hypnotized Subject (uncredited),ACTOR
14166,tm15689,Bess Flowers,Bar Patron (seen in mirror) (uncredited),ACTOR
569695,tm15689,Kay Harding,4th Victim (uncredited),ACTOR
25066,tm15689,Alec Harford,Commissioner of the CID (uncredited),ACTOR
27274,tm15689,Olaf Hytten,Fenwick's Butler Norris (uncredited),ACTOR
47825,tm15689,Boyd Irwin,Short-Tempered Officer Closing Window (uncredited),ACTOR
27298,tm15689,Eric Mayne,Member of Mesmer Club (uncredited),ACTOR
21359,tm15689,William H. O'Brien,Pembrook House Waiter (uncredited),ACTOR
60620,tm15689,Roy William Neill,,DIRECTOR
25058,tm89053,Basil Rathbone,Sherlock Holmes,ACTOR
72427,tm89053,Nigel Bruce,Dr. John H. Watson,ACTOR
36595,tm89053,Alan Mowbray,Major Duncan-Bleek,ACTOR
60611,tm89053,Dennis Hoey,Inspector Lestrade,ACTOR
554394,tm89053,Renee Godfrey,Vivian Vedder,ACTOR
51918,tm89053,Frederick Worlock,Prof. William Kilbane,ACTOR
45543,tm89053,Mary Forbes,Lady Margaret Carstairs,ACTOR
153246,tm89053,Skelton Knaggs,Sands - Moran's Accomplice,ACTOR
74039,tm89053,Billy Bevan,Conductor Taking Tickets,ACTOR
14779,tm89053,Geoffrey Steele,Roland Carstairs,ACTOR
568273,tm89053,Janet Murdoch,Mrs. Shallcross (uncredited),ACTOR
569305,tm89053,Gerald Hamer,Alf Shallcross (uncredited),ACTOR
812281,tm89053,Leland Hodgson,Senior Conductor (uncredited),ACTOR
29631,tm89053,Harry Cording,Mock the Undertaker (uncredited),ACTOR
85284,tm89053,Charles Knight,Baggage Car Guard (uncredited),ACTOR
100214,tm89053,Boyd Davis,"""Inspector MacDonald"" (uncredited)",ACTOR
812213,tm89053,Bobby Wissler,Mock Jr. (uncredited),ACTOR
812214,tm89053,Gilbert Allen,Dining Car Steward (uncredited),ACTOR
42886,tm89053,C. Aubrey Smith,Elderly gentleman on train station (uncredited),ACTOR
60620,tm89053,Roy William Neill,,DIRECTOR
60996,tm108521,Randolph Scott,Sheriff Steve Upton,ACTOR
25654,tm108521,Claire Trevor,Countess Maletta,ACTOR
33047,tm108521,Glenn Ford,Cheyenne Rogers,ACTOR
13305,tm108521,Evelyn Keyes,Allison McLeod,ACTOR
60998,tm108521,Edgar Buchanan,Uncle Willie McLeod,ACTOR
62979,tm108521,Guinn Williams,Nitro Rankin,ACTOR
70103,tm108521,Raymond Walburn,Judge Cameron,ACTOR
27185,tm108521,Porter Hall,Banker Clanton,ACTOR
13331,tm108521,Irving Bacon,Dan Walters - Bartender (uncredited),ACTOR
22006,tm108521,Francis Ford,Hank (uncredited),ACTOR
28729,tm108521,Edward Hearn,Armed Townsman (uncredited),ACTOR
42499,tm108521,Edward Pawley,Deputy Blackie (uncredited),ACTOR
33404,tm108521,Glenn Strange,Lem - Jack's Gang Member (uncredited),ACTOR
70104,tm108521,Slim Whitaker,Tolliver - Jack's Gang Member (uncredited),ACTOR
36500,tm108521,Joan Woodbury,Sundown (uncredited),ACTOR
69891,tm108521,Charles Vidor,,DIRECTOR
25629,tm82870,John Wayne,Young Matt,ACTOR
55105,tm82870,Betty Field,Sammy Lane,ACTOR
27181,tm82870,Harry Carey,Daniel Howitt,ACTOR
27179,tm82870,Beulah Bondi,Aunt Mollie,ACTOR
72284,tm82870,James Barton,Old Matt,ACTOR
47762,tm82870,Samuel S. Hinds,Andy Beeler,ACTOR
65181,tm82870,Marjorie Main,Granny Becky,ACTOR
13323,tm82870,Ward Bond,Wash Gibbs,ACTOR
12934,tm82870,Marc Lawrence,Pete,ACTOR
14710,tm82870,John Qualen,Coot Royal,ACTOR
121008,tm82870,Fuzzy Knight,Mr. Palestrom,ACTOR
95865,tm82870,Tom Fadden,Jim Lane,ACTOR
13330,tm82870,Olin Howland,Corky,ACTOR
