id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm363861,Blood Circus,MOVIE,"A retired MMA world champion gets caught up in an underground fight club called the ""Blood Circus"" and must fight to survive and save his family.",2017,,87,"['thriller', 'action']",['US'],,tt4247828,3.9,165.0,6.518,6.0
tm350434,The Z Effect,MOVIE,Through six parts we follow main characters Scott and Mike surviving the beginning of a zombie apocalypse.,2017,,87,"['horror', 'thriller']",['XX'],,tt5196174,3.7,41.0,0.958,2.0
tm332147,Madam Yankelova's Fine Literature Club,MOVIE,"What is going on behind the closed doors of the women-only secret club? The first rule is that love is prohibited. When Sophie falls in love with a mysterious man, she must choose between her last chance for true love to her loyalty to the club.",2017,,88,['drama'],['IL'],,tt6965662,5.5,116.0,1.4,4.5
tm446364,Dark Sister,MOVIE,"Troubled artist Cassie suffers with reoccurring visions of murder, which she copes with by committing the violent acts to canvas. But when her visions begin to manifest in real life, her friends and family begin to turn up dead. Realizing her visions actually provide a direct link to the killer, Cassie must now confront her own past in order to stop the murders and save herself.",2018,,96,"['horror', 'thriller']",['US'],,tt9154776,4.8,115.0,7.271,5.5
tm842187,The Fatal Contract,MOVIE,"After the dead body of a talented painter is found in a bathtub, a local bartender and a young policeman become involved in a complicated mystery, uncovering scandalous secrets and shocking twists as they search for the truth.",2018,R,90,['thriller'],[],,,,,0.602,
tm430820,Dark Forces: Shadow People,MOVIE,"A number of legends and belief systems describe dark spiritual or supernatural entities as well as various shadow creatures which have long been a staple of folklore and centuries old ghost stories. While some physiological and psychological conditions can account for experiences of shadow people, paranormal researchers don't all agree on whether or not they are evil. Some even speculate that shadow people may be the extra-dimensional inhabitants of another universe. One thing is for sure though, thousands of sane people are reporting dark, menacing apparitions lurking over them while sleeping and leaving them in a paralyzed state frozen with fear. Is this some new psychological phenomenon or intruders from some other nefarious dimension?",2018,,70,[],['XX'],,,,,0.6,6.0
tm475755,Sasquatch Hunters,MOVIE,"Many believe Bigfoot doesn't exist, but to those who have seen it, there is no question - Bigfoot is real. Encounters with this elusive and strange creature have changed the lives of those who experience its presence, but it has been linked to the death of farm animals, pets and even the disappearance of people. There is definitely a living, breathing creature lurking in the backwoods and swamps of North America but to find any elusive animal you have to know what to look for, as well as knowing its behavior in order to hunt it.",2018,,70,['documentation'],['US'],,,,,0.6,
tm358180,The West and the Ruthless,MOVIE,"In the dusty streets of Crow's Landing, outlaws, wealthy plantation owners, runaway slaves, a half Cherokee girl, a pair of brothel owners and a woman days away from giving birth all end up in a bloody shoot out and running for their lives.",2017,,90,"['drama', 'action', 'western']",['XX'],,tt6065046,5.0,77.0,0.905,
tm441991,Seat 25,MOVIE,"Faye Banks is lost in a world in which she doesn’t belong. When her imagination leads her to enter a competition to win a one way ticket to Mars, the consequences will change her life forever.",2018,,84,"['scifi', 'drama']",['GB'],,tt5908294,5.2,452.0,2.85,5.4
tm493570,Salvation,MOVIE,"Anna travels to Tibet to find a high-altitude church to serve a mission and meet Father Edward.She is lost in the new environment. However, having passed acclimatization, Anna is happily beginning to overcome the difficulties of her transition.",2018,PG-13,90,"['crime', 'drama']",['US'],,tt8905306,6.1,40.0,,
tm450006,Haven's End,MOVIE,"When major cities around the world burn in the aftermath of massive, coordinated terrorist attacks, a trauma doctor and her friends escape Atlanta to the perceived safety of the countryside, only to discover the danger has followed them.",2018,R,92,['thriller'],['US'],,tt6410712,4.3,284.0,2.198,4.0
tm319681,Bayou Ghost Story,MOVIE,A paranormal investigator travels to the South to research a series of deaths connected to a supernatural curse haunting an old Louisiana family.,2017,,73,"['thriller', 'drama', 'horror']",['US'],,tt5941004,3.6,74.0,0.629,8.0
tm318771,Hunting the KGB Killers,MOVIE,"The inside story of Alexander Litvinenko's murder in London and the subsequent international manhunt that led to the Kremlin, told in full for the first time, with exclusive access to key individuals.",2017,PG-13,54,"['documentation', 'crime']",['XX'],,tt6793818,7.2,118.0,1.447,6.6
tm920843,Monstrous,MOVIE,"A young woman goes searching for answers after her friend mysteriously vanishes in Whitehall, NY, an Adirondack town known for its Bigfoot sightings. She quickly learns that hiding in the woods is an evil more sinister than she could ever imagine.",2020,,86,"['horror', 'thriller', 'drama', 'fantasy']",['US'],,tt4624366,3.8,690.0,3.758,4.8
tm947962,Stripped: Los Angeles,MOVIE,An unflinching look at Los Angeles' top exotic & private dancers. Enter with a full-access pass into the lives of five women whose raw ambitions drive them through struggles and taboo to female empowerment.,2020,,80,['documentation'],['US'],,tt12597266,5.3,593.0,5.439,1.0
