person_id,id,name,character,role
98757,tm4525,Rory Mallinson,Detective with Harry (uncredited),ACTOR
153011,tm4525,Billy Mauch,Handsome (uncredited),ACTOR
34186,tm4525,John McGuire,Officer Robert Rawlins (uncredited),ACTOR
73158,tm4525,Charles Meredith,Hollywood Police Official (uncredited),ACTOR
155449,tm4525,Carlotta Monti,Miss Montavio (uncredited),ACTOR
27201,tm4525,Bert Moorhouse,Detective (uncredited),ACTOR
60488,tm4525,Howard Negley,Lt. Greeson (uncredited),ACTOR
44085,tm4525,James Nolan,Harry (uncredited),ACTOR
558896,tm4525,John Parrish,Liquor Store Proprietor (uncredited),ACTOR
41716,tm4525,Steve Pendleton,Detective (uncredited),ACTOR
17832,tm4525,Paul Perri,Young Hoodlum (uncredited),ACTOR
155857,tm4525,Paul Scardon,Liquor Store Proprietor (uncredited),ACTOR
10384,tm4525,Kenneth Tobey,Detective Questioning Pete (uncredited),ACTOR
137905,tm4525,Wally Vernon,Postman (uncredited),ACTOR
547771,tm4525,Harlan Warde,Police Operator 27 (uncredited),ACTOR
568233,tm4525,Mary Ware,Reeves' Secretary (uncredited),ACTOR
32289,tm4525,Robert B. Williams,Detective (uncredited),ACTOR
21778,tm4525,Harry Wilson,Prison Inmate (uncredited),ACTOR
35532,tm4525,Anthony Mann,,DIRECTOR
69969,tm4525,Alfred L. Werker,,DIRECTOR
25652,tm90549,Edward G. Robinson,Pete Morgan,ACTOR
153583,tm90549,Lon McCallister,Nath Storm,ACTOR
23696,tm90549,Judith Anderson,Ellen Morgan,ACTOR
52153,tm90549,Rory Calhoun,Teller,ACTOR
62829,tm90549,Allene Roberts,Meg,ACTOR
65093,tm90549,Julie London,Tibby Renton,ACTOR
13335,tm90549,Ona Munson,Mrs. Storm,ACTOR
15256,tm90549,Harry Shannon,Dr. Jonathan Byrne,ACTOR
46787,tm90549,Arthur Space,Sheriff Ray Helk,ACTOR
25663,tm90549,Pat Flaherty,Motorcycle Cop (Uncredited),ACTOR
